Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Military_levels,Religious_levels,Settlement_hierarchy,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0
ItRomPr+300,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Principate,300,400,55000000.0,5000000.0,1000000.0,9.0,4.0,7.0,,1.0,1.0,1.0,1.0,0.0,0.1,state salary,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,1.0,1.0,1.0,116.0,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Rome,unitary state,Latin,Indo-European,Ptolemaic Empire,cultural assimilation,Roman Empire Dominate,Greco-Roman,17000000,none,0.0,1.0,1.0,Roman Religion,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.740362689494244,6.698970004336019,6.0,6.666666666666668,0.6454545454545454,1.0,4.0,1.0,5.0,0.0,0.0,215.28676982910622
ItRomRg-500,['Latium'],Roman Kingdom,-500,-400,20000.0,1000.0,14250.0,4.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,none,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,-535.0,['33T'],['Europe'],Rome,unitary state,Latin,Indo-European,Iron Age Latium,continuity,Early Roman Republic,Hellenistic Civilization,1000000,none,,,,Roman Religion,feriae Latinae,not applicable,yearly,yearly,Lemuria,,yearly,yearly,Saturnalia,not applicable,yearly,yearly,sacrifice to Vesta,not applicable,daily,daily,sanctuary rituals (votive offering),not applicable,,,,4.301029995663981,3.0,4.153814864344529,2.333333333333333,0.2727272727272727,0.6777777777777777,4.0,0.5555555555555556,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",13.602059991327963
ItRomRg-600,['Latium'],Roman Kingdom,-600,-500,20000.0,1000.0,14250.0,4.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,none,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,-535.0,['33T'],['Europe'],Rome,unitary state,Latin,Indo-European,Iron Age Latium,continuity,Early Roman Republic,Hellenistic Civilization,1000000,none,,,,Roman Religion,feriae Latinae,not applicable,yearly,yearly,Lemuria,,yearly,yearly,Saturnalia,not applicable,yearly,yearly,sacrifice to Vesta,not applicable,daily,daily,sanctuary rituals (votive offering),not applicable,,,,4.301029995663981,3.0,4.153814864344529,2.333333333333333,0.2727272727272727,0.6777777777777777,4.0,0.5555555555555556,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",4.301029995663981
ItRomRg-700,['Latium'],Roman Kingdom,-700,-600,20000.0,1000.0,4000.0,4.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,-535.0,['33T'],['Europe'],Rome,unitary state,Latin,Indo-European,Iron Age Latium,continuity,Early Roman Republic,Hellenistic Civilization,1000000,none,,,,Roman Religion,feriae Latinae,not applicable,yearly,yearly,Lemuria,,yearly,yearly,Saturnalia,not applicable,yearly,yearly,sacrifice to Vesta,not applicable,daily,daily,sanctuary rituals (votive offering),not applicable,,,,4.301029995663981,3.0,3.6020599913279625,2.333333333333333,0.18181818181818185,0.6777777777777777,4.0,0.5555555555555556,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
ItRomWe+400,['Latium'],Western Roman Empire,400,500,,2000000.0,500000.0,7.0,8.0,6.0,,1.0,1.0,1.0,1.0,0.0,0.0,state salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,438.0,['33T'],['Europe'],Rome,unitary state,Latin,Indo-European,Roman Empire-Dominate,continuity,Western Roman Empire-Late Antiquity,Roman,5500000,alliance,1.0,1.0,0.0,Christianity,chariot races,,,,,,,,chariot races,,,,baptism,,,once in a lifetime,public oath-swearing,not applicable,,,,,6.301029995663981,5.698970004336019,7.0,0.8181818181818182,0.8888888888888888,4.0,1.0,5.0,0.1111111111111111,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",
ItRomWe+500,['Latium'],Western Roman Empire,500,600,,2000000.0,500000.0,7.0,8.0,6.0,,1.0,1.0,1.0,1.0,0.0,0.0,state salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,438.0,['33T'],['Europe'],Rome,unitary state,Latin,Indo-European,Roman Empire-Dominate,continuity,Western Roman Empire-Late Antiquity,Roman,5500000,alliance,1.0,1.0,0.0,Christianity,chariot races,,,,,,,,chariot races,,,,baptism,,,once in a lifetime,public oath-swearing,not applicable,,,,,6.301029995663981,5.698970004336019,7.0,0.8181818181818182,0.8888888888888888,4.0,1.0,5.0,0.1111111111111111,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",
ItSpolt+600,['Latium'],Duchy of Spoleto,600,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['33T'],['Europe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",
ItSpolt+700,['Latium'],Duchy of Spoleto,700,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['33T'],['Europe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",
ItSpolt+800,['Latium'],Duchy of Spoleto,800,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['33T'],['Europe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",
ItStPet+1000,['Latium'],Republic of St Peter,1000,1100,335000.0,50000.0,40000.0,5.0,5.0,5.0,,1.0,0.1,1.0,0.0,0.0,,state,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.1,9.0,0.0,0.0,1.0,874.0,['33T'],['Europe'],Rome,nominal,Latin,Indo-European,Byzantine Exarchate of Ravenna,vassalage,Republic of St Peter,Latin Christendom,17000000,nominal,1.0,1.0,0.0,Christianity,pilgrimage,daily,daily,once in a lifetime,medieval duel,,,,liturgical processions,not applicable,monthly,yearly,mass,weekly,daily,daily,baptism,yearly,weekly,once in a lifetime,,5.5250448070368465,4.698970004336019,4.6020599913279625,5.0,0.6454545454545454,0.8888888888888888,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",204.496480634151
ItStPet+800,['Latium'],Republic of St Peter,800,900,440000.0,50000.0,70000.0,5.0,5.0,5.0,,1.0,0.1,1.0,0.0,0.0,,state,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.1,9.0,0.0,0.0,1.0,874.0,['33T'],['Europe'],Rome,nominal,Latin,Indo-European,Byzantine Exarchate of Ravenna,vassalage,Republic of St Peter,Latin Christendom,17000000,nominal,1.0,1.0,0.0,Christianity,pilgrimage,daily,daily,once in a lifetime,medieval duel,,,,liturgical processions,not applicable,monthly,yearly,mass,weekly,daily,daily,baptism,yearly,weekly,once in a lifetime,,5.643452676486187,4.698970004336019,4.845098040014257,5.0,0.6454545454545454,0.8888888888888888,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",181.54983190024433
ItStPet+900,['Latium'],Republic of St Peter,900,1000,335000.0,50000.0,40000.0,5.0,5.0,5.0,,1.0,0.1,1.0,0.0,0.0,,state,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.1,9.0,0.0,0.0,1.0,874.0,['33T'],['Europe'],Rome,nominal,Latin,Indo-European,Byzantine Exarchate of Ravenna,vassalage,Republic of St Peter,Latin Christendom,17000000,nominal,1.0,1.0,0.0,Christianity,pilgrimage,daily,daily,once in a lifetime,medieval duel,,,,liturgical processions,not applicable,monthly,yearly,mass,weekly,daily,daily,baptism,yearly,weekly,once in a lifetime,,5.5250448070368465,4.698970004336019,4.6020599913279625,5.0,0.6454545454545454,0.8888888888888888,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",193.4943145723945
JpAshik+1400,['Kansai'],Muromachi (Ashikaga),1400,1500,12500000.0,295000.0,150000.0,5.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,land,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,1.0,1.0,1380.0,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese (12th–16th century),Japonic,Kamakura Shogunate,continuity,Warring States Period,Japanese,3900000,nominal allegiance,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.096910013008057,5.469822015978163,5.176091259055682,4.0,0.6363636363636364,1.0,4.0,1.0,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",147.92857200786108
JpAshik+1500,['Kansai'],Muromachi (Ashikaga),1500,1600,17000000.0,295000.0,40000.0,5.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,land,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,1.0,1.0,1380.0,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese (12th–16th century),Japonic,Kamakura Shogunate,continuity,Warring States Period,Japanese,3900000,nominal allegiance,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.230448921378274,5.469822015978163,4.6020599913279625,4.0,0.6363636363636364,1.0,4.0,1.0,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",161.78135687654162
JpAshik+1600,['Kansai'],Muromachi (Ashikaga),1600,1700,17000000.0,295000.0,40000.0,5.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,land,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,1.0,1.0,1380.0,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese (12th–16th century),Japonic,Kamakura Shogunate,continuity,Warring States Period,Japanese,3900000,nominal allegiance,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.230448921378274,5.469822015978163,4.6020599913279625,4.0,0.6363636363636364,1.0,4.0,1.0,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",190.81512632149864
JpAsuka+600,['Kansai'],Asuka period in Kansai region,600,700,1500000.0,100000.0,,4.0,2.0,4.0,,0.0,1.0,1.0,1.0,1.0,1.0,state salary land,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.1,1.0,0.0,,['53S'],['East Asia'],Fujiwara,unitary state,Old Japanese,Japonic,Kofun,continuity,Nara,Korea,5400000,alliance,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,,,,,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.176091259055681,5.0,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.7777777777777778,5.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",38.10770007678147
JpAsuka+700,['Kansai'],Asuka period in Kansai region,700,800,2000000.0,100000.0,,4.0,2.0,4.0,,0.0,1.0,1.0,1.0,1.0,1.0,state salary land,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.1,1.0,0.0,,['53S'],['East Asia'],Fujiwara,unitary state,Old Japanese,Japonic,Kofun,continuity,Nara,Korea,5400000,alliance,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,,,,,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.301029995663981,5.0,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.7777777777777778,5.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",50.45988259489283
JpAsuka+800,['Kansai'],Asuka period in Kansai region,800,900,2000000.0,100000.0,,4.0,2.0,4.0,,0.0,1.0,1.0,1.0,1.0,1.0,state salary land,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.1,1.0,0.0,,['53S'],['East Asia'],Fujiwara,unitary state,Old Japanese,Japonic,Kofun,continuity,Nara,Korea,5400000,alliance,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,,,,,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.301029995663981,5.0,,3.333333333333333,0.8181818181818182,0.7777777777777778,4.0,0.7777777777777778,5.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",69.76737863280604
JpAzMom+1500,['Kansai'],Azuchi–Momoyama,1500,1600,17000000.0,295000.0,300000.0,5.0,2.0,5.0,,0.0,1.0,1.0,1.0,0.1,0.1,state salary,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,,0.1,1.0,1.0,,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese (12th–16th century),Japonic,Warring States Period,continuity,Tokugawa Shogunate,Japanese,,none,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.230448921378274,5.469822015978163,5.477121254719663,4.0,0.6545454545454545,1.0,4.0,1.0,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",169.0118057979199
JpAzMom+1600,['Kansai'],Azuchi–Momoyama,1600,1700,22000000.0,295000.0,300000.0,5.0,2.0,5.0,,0.0,1.0,1.0,1.0,0.1,0.1,state salary,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.1,1.0,1.0,,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese (12th–16th century),Japonic,Warring States Period,continuity,Tokugawa Shogunate,Japanese,,none,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.342422680822207,5.469822015978163,5.477121254719663,4.0,0.6545454545454545,1.0,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",183.47270364067643
JpAzMom+1700,['Kansai'],Azuchi–Momoyama,1700,1800,22000000.0,295000.0,300000.0,5.0,2.0,5.0,,0.0,1.0,1.0,1.0,0.1,0.1,state salary,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.1,1.0,1.0,,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese (12th–16th century),Japonic,Warring States Period,continuity,Tokugawa Shogunate,Japanese,,none,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.342422680822207,5.469822015978163,5.477121254719663,4.0,0.6545454545454545,1.0,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",220.08084484297635
JpHeian+1000,['Kansai'],Heian,1000,1100,4500000.0,300000.0,175000.0,4.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,State salary,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,1.0,1.0,861.0,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.653212513775344,5.477121254719663,5.2430380486862935,3.0,0.8181818181818182,0.8888888888888888,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",102.32038733853341
JpHeian+1100,['Kansai'],Heian,1100,1200,5500000.0,300000.0,175000.0,4.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,State salary,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,1.0,1.0,861.0,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.740362689494244,5.477121254719663,5.2430380486862935,3.0,0.8181818181818182,0.8888888888888888,4.0,1.0,5.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",108.97359985230875
